sku,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment,Churn_Status
AN201-RED-M,60,2,458.0,1,1,1,111,3,At Risk,Churn Likely
AN201-RED-XL,4,2,602.0,4,1,1,411,6,Loyal,Retained
AN201-RED-XXL,58,1,229.0,1,1,1,111,3,At Risk,Churn Likely
AN202-ORANGE-M,41,2,530.0,1,1,1,111,3,At Risk,Churn Likely
AN202-ORANGE-S,38,4,1141.0,1,2,1,121,4,At Risk,Churn Likely
AN202-ORANGE-XXL,71,1,229.0,1,1,1,111,3,At Risk,Churn Likely
AN203-MAROON-XXL,41,1,301.0,1,1,1,111,3,At Risk,Churn Likely
AN204-PURPLE-L,4,5,1569.3400000000001,4,2,2,422,8,Loyal,Retained
AN204-PURPLE-M,3,1,322.0,4,1,1,411,6,Loyal,Retained
AN204-PURPLE-S,14,1,322.0,2,1,1,211,4,Others,Needs Nurturing
AN204-PURPLE-XL,46,1,306.67,1,1,1,111,3,At Risk,Churn Likely
AN204-PURPLE-XXL,3,2,644.0,4,1,1,411,6,Loyal,Retained
AN205-YELLOW-S,86,3,723.0,1,1,1,111,3,At Risk,Churn Likely
AN205-YELLOW-XL,4,3,903.0,4,1,1,411,6,Loyal,Retained
AN205-YELLOW-XXL,7,1,301.0,3,1,1,311,5,Others,Needs Nurturing
AN206-GREEN-M,84,1,249.0,1,1,1,111,3,At Risk,Churn Likely
AN206-GREEN-S,2,1,301.0,4,1,1,411,6,Loyal,Retained
AN206-GREEN-XL,4,1,301.0,4,1,1,411,6,Loyal,Retained
AN207-PINK-L,38,1,322.0,1,1,1,111,3,At Risk,Churn Likely
AN207-PINK-S,17,1,322.0,2,1,1,211,4,Others,Needs Nurturing
AN207-PINK-XXL,41,1,322.0,1,1,1,111,3,At Risk,Churn Likely
AN208-MUSTARD-L,40,1,301.0,1,1,1,111,3,At Risk,Churn Likely
AN208-MUSTARD-M,82,1,229.0,1,1,1,111,3,At Risk,Churn Likely
AN208-MUSTARD-S,75,1,229.0,1,1,1,111,3,At Risk,Churn Likely
AN208-MUSTARD-XL,14,2,530.0,2,1,1,211,4,Others,Needs Nurturing
AN208-MUSTARD-XXL,37,4,1058.1,1,2,1,121,4,At Risk,Churn Likely
AN209-BIEGE-XL,11,5,1373.0,3,2,1,321,6,Others,Needs Nurturing
AN209-BIEGE-XXL,59,1,229.0,1,1,1,111,3,At Risk,Churn Likely
AN210-NAVY-M,32,1,286.67,2,1,1,211,4,Others,Needs Nurturing
AN210-NAVY-XL,6,1,301.0,3,1,1,311,5,Others,Needs Nurturing
AN211-BLACK-L,22,5,1806.0,2,2,2,222,6,Others,Needs Nurturing
AN211-BLACK-S,7,3,903.0,3,1,1,311,5,Others,Needs Nurturing
AN211-BLACK-XL,18,1,301.0,2,1,1,211,4,Others,Needs Nurturing
AN211-BLACK-XXL,11,3,1204.0,3,1,1,311,5,Others,Needs Nurturing
AN212-WHITE-L,5,1,322.0,3,1,1,311,5,Others,Needs Nurturing
AN212-WHITE-M,12,1,312.0,3,1,1,311,5,Others,Needs Nurturing
AN212-WHITE-S,10,1,312.0,3,1,1,311,5,Others,Needs Nurturing
AN212-WHITE-XL,4,2,644.0,4,1,1,411,6,Loyal,Retained
AN212-WHITE-XXL,3,1,322.0,4,1,1,411,6,Loyal,Retained
AN213-BROWN-L,31,5,1490.67,2,2,2,222,6,Others,Needs Nurturing
AN213-BROWN-M,32,2,587.6700000000001,2,1,1,211,4,Others,Needs Nurturing
AN213-BROWN-S,6,8,2264.0,3,3,2,332,8,Others,Needs Nurturing
AN213-BROWN-XL,36,1,301.0,1,1,1,111,3,At Risk,Churn Likely
BL001-50PINK,61,1,419.0,1,1,1,111,3,At Risk,Churn Likely
BL003-50BLACK,61,2,838.0,1,1,1,111,3,At Risk,Churn Likely
BL003-50BLACK-B,73,7,2906.05,1,2,2,122,5,At Risk,Churn Likely
BL004-50CHIKU-B,69,1,419.0,1,1,1,111,3,At Risk,Churn Likely
BL006-54BLACK,2,7,2687.76,4,2,2,422,8,Loyal,Retained
BL006-54BLACK-B,67,1,383.0,1,1,1,111,3,At Risk,Churn Likely
BL007-61PINK-B,75,3,1017.0,1,1,1,111,3,At Risk,Churn Likely
BL008-61RED-B,78,2,678.0,1,1,1,111,3,At Risk,Churn Likely
BL009-61BLACK,52,3,1705.0,1,1,2,112,4,At Risk,Churn Likely
